name,description,website,location,incubator_name
Ternow,Ternow creates a 3D HD map of the earth from space. Their AI convertes satellite images into maps with 5cm accuracy relevant across industries.,https://ternow.ai/,"Munich, Germany",XPreneurs
Testify,Testifi optimizes and enables large scale software delivery through an integrated testing solution leveraging Jira to make software delivery easier and more accessible than ever before.,https://testifi.io/,"Munich, Germany",XPreneurs
TINUS,TINUS is a sound pillow using bone conduction to transmit sounds for people with tinnitus and sleeping disorders to improve their sleeping phase.,http://www.tinus.shop/,"Munich, Germany",XPreneurs
Top.Legal,Contract management for modern businesses.,https://www.top.legal/,"Munich, Germany",XPreneurs
tozero,Recycling lithium ion batteries for the EV industry.,https://www.tozero.solutions/,"Munich, Germany",XPreneurs
Trail,Trail is the AI governance co-pilot: Trail empowers companies to develop high-quality & trustworthy AI by enabling efficient operationalization of governance.,https://trail-ml.com/,"Munich, Germany",XPreneurs
Transcality,Transcality builds a digital twin of transportation systems - a virtual replica of everything that moves around in a city.,https://transcality.com/,"Munich, Germany",XPreneurs
TWAICE,"TWAICE delivers solutions based on digital twins to reduce battery development and testing costs, increase reliability and lifetime for battery and electric vehicle manufacturers as well as fleet operators.",https://twaice.com/,"Munich, Germany",XPreneurs
Twin Dynamics,Twin Dynamics offers digital twin software solutions for creating energy conscious and healthy building spaces.,https://www.twindynamics.co.uk/,"Munich, Germany",XPreneurs
twinu,"The mission of Twinu is to create a world where companies and people are empowered to use physical products in the most efficient and effective way, maximizing product lifespan and circularity, and thereby improving the climate impact of production and consumption.",https://www.twinu.com/,"Munich, Germany",XPreneurs
Twostay,"Work anywhere inspiring. Find your office in other locations' off-hours, work anywhere, get inspired and join a community.",https://www.twostay.work/,"Munich, Germany",XPreneurs
ubiMaster,"ubiMaster offers unlimited, on-demand access to personalised 1-on-1 tutoring packaged in a monthly subscription model.",https://www.ubimaster.de/,"Munich, Germany",XPreneurs
Upride,We enable urban planners to get a comprehensive understanding of cycling traffic and to make the right and most effective decisions to shape the cycling infrastructure of tomorrow.,,"Munich, Germany",XPreneurs
Utopian Future Technologies SA (Exit),We sell user experience in mobility. Our product is a shared on-demand passenger transportation service for metropolitan areas called Uft.,,"Munich, Germany",XPreneurs
V2X Network,"V2X Network is a blockchain-based platform which provides developers decentralized access to data produced by smart cars - to boost service/ application development for the mobility ecosystem. Vehicle owners and OEMs benefit from innovative services, while getting rewarded for their data contribution.",https://www.v2x.network/,"Munich, Germany",XPreneurs
Vestigas,We automate standardized agreement processing in supply chains.,https://www.vestigas.com/,"Munich, Germany",XPreneurs
Vestlane,Vestlane enables leading fund managers to run their fundraising digitally and manage compliance throughout the whole fund lifetime.,https://vestlane.com/,"Munich, Germany",XPreneurs
Viezo,Vibration energy harvesting to power wireless IoT!,https://www.viezo.co/,"Munich, Germany",XPreneurs
Virtonomy,"Virtonomy serves as a medical device service provider for virtual anatomy and fitting studies based on imagining data and anatomical models. Additionally, we are building a Platform as a Service for healthcare providers for data communication, automatic classification, storage and management.",https://virtonomy.io/,"Munich, Germany",XPreneurs
Vyoma,"Vyoma delivers confidence in space with in-situ debris-tracking and automated decidion-making, coupled with a drastic reduction in mission costs.",https://vyoma.de/,"Munich, Germany",XPreneurs
Waterjade,Waterjade has developed a smart model with which they can predict water resources more accurately and help hydropower plants calibrate their energy production levels based on the anticipated water supply levels.,https://www.waterjade.com/en/,"Munich, Germany",XPreneurs
WeavAir,WeavAir makes operations safer and more sustainable through accurate and continuous analytics.,https://weavair.com/,"Munich, Germany",XPreneurs
Wiferion,Wiferion develops wireless superchargers to charge electric vehicles conveniently and fully autonomously.,https://www.wiferion.com/,"Munich, Germany",XPreneurs
Workpath,"Workpath is an OKR and goal management platform designed to drive performance, employee engagement and operational excellence.",https://www.workpath.com/,"Munich, Germany",XPreneurs
workride,Solving commuting for companies of any size. Workride revolutionizes corporate shuttles by enabling affordable and sustainable shared cross-company mobility.,https://workride.de/,"Munich, Germany",XPreneurs
xFlight,xFlight’s electric propulsion system powers the next generation of vertical take-off and landing aircraft.,https://www.xflight-aircrafts.com/,"Munich, Germany",XPreneurs
XO Life,XO Life connects patients and pharma manufacturers for the better life.,https://xo-life.com/,"Munich, Germany",XPreneurs
Yuri,"yuri is your one-stop shop for microgravity. Whether you want to take your experiment to the ISS, manufacture new materials or fly on a parabolic flight yourself. We’ve got you covered.",https://www.yurigravity.com/,"Munich, Germany",XPreneurs
ZenML,"ZenML is an extensible, open-source MLOps framework for creating production-ready ML pipelines. Built for data scientists, it has a simple, flexible syntax, is cloud- and tool-agnostic, and has interfaces/abstractions that are catered towards ML workflows.",https://zenml.io/home,"Munich, Germany",XPreneurs
Zentur.io,"More efficient, transparent and green district heating supply.",https://www.zentur.io/,"Munich, Germany",XPreneurs
,,https://frachtklub.com/,"Munich, Germany",XPreneurs
,,https://mangomedical.io/,"Munich, Germany",XPreneurs
Galuxea , Permanent eco-friendly biofouling protection ,,"Eindhoven, Netherlands",HighTechXL
Luper Technologies , Revolutionizing industrial air cleaning ,,"Eindhoven, Netherlands",HighTechXL
Ulu , Ulu: providing end-to-end vehicle based IOT solutions. ,,"Eindhoven, Netherlands",HighTechXL
Manus VR , The road to highly accurate finger capture. ,,"Eindhoven, Netherlands",HighTechXL
Atogear ," ARION decodes the relationship between movement, performance and injury prevention through science, data and AI. ",,"Eindhoven, Netherlands",HighTechXL
Project Ipsilon,"Where music, brain science and technology meet",https://www.projectipsilon.com/,"Eindhoven, Netherlands",HighTechXL
UVisio,Enjoy the sun without the consequences,https://uvisio.com/,"Eindhoven, Netherlands",HighTechXL
Usono,"Ease, improve and innovate your use of ultrasound",https://www.usono.com/,"Eindhoven, Netherlands",HighTechXL
Sustonable,Bringing the sustainable revolution to every household with the first circular design surface.,https://www.sustonable.com/,"Eindhoven, Netherlands",HighTechXL
MyWheels,Cars for people who don’t want cars,https://driveamber.com/nl/,"Eindhoven, Netherlands",HighTechXL
Bambi Medical,Making babies’ lives happier from day one,https://www.bambi-medical.com/,"Eindhoven, Netherlands",HighTechXL
Spectrik, Insights for future farming,https://spectrik.eu/,"Eindhoven, Netherlands",HighTechXL
VitalWear,Photonic sensing integrated in textiles and clothing for non-invasive medical applications,https://vitalwear.nl/,"Eindhoven, Netherlands",HighTechXL
Astrape,Building fully optical networks for a faster and more sustainable Internet,https://www.astrape.net/,"Eindhoven, Netherlands",HighTechXL
Senergetics,Sense in data,https://www.senergetics.ai/,"Eindhoven, Netherlands",HighTechXL
Inner Tech,Democratizing X-ray,https://www.innertech.ai/,"Eindhoven, Netherlands",HighTechXL
SLE Enterprises,"Elevating products, preserving the planet",https://www.sle-enterprises.com/,"Eindhoven, Netherlands",HighTechXL
Avoxt,Creating advanced technologies for extremely efficient hydrogen production,https://avoxt.com/,"Eindhoven, Netherlands",HighTechXL
Hica Solutions,Revolutionizing the rehab industry using force feedback technology,https://www.linkedin.com/company/hica-solutions/,"Eindhoven, Netherlands",HighTechXL
InnoFlex,Creating a healthier world through nanotechnology,https://www.innoflexbv.com/,"Eindhoven, Netherlands",HighTechXL
Incooling,"Cooling down the planet, one server at a time",https://www.incooling.com/,"Eindhoven, Netherlands",HighTechXL
Alphabeats,Unlocking next-level mental performance,https://www.listenalphabeats.com/,"Eindhoven, Netherlands",HighTechXL
inPhocal,Light without limits,https://inphocal.com/,"Eindhoven, Netherlands",HighTechXL
Keiron Printing Technologies,Printing electronics with the speed of light,https://keirontechnologies.com/,"Eindhoven, Netherlands",HighTechXL
Veridis,Developing innovative analytical technology to improve quality control and and enable recycling 2.0,https://veridis.tech/,"Eindhoven, Netherlands",HighTechXL
Accerion,Guiding mobile robots into the future.,https://accerion.tech/,"Eindhoven, Netherlands",HighTechXL
Aircision,"Ultra-high-capacity free space optics systems that are deployed fast, cover long distances and are highly secure.",https://www.aircision.com/,"Eindhoven, Netherlands",HighTechXL
Carbyon,Closing the CO2 cycle by capturing the CO2 from ambient air.,https://carbyon.com/,"Eindhoven, Netherlands",HighTechXL
Vokalo,Vokalo is a sports technology that supports the communication between coaches and athletes in training sessions.,https://vokalo.io/,"Copenhagen, Denmark",Accelerace
tinyfarms,Interactive indoor farms for education,https://tinyfar.ms,"Copenhagen, Denmark",Accelerace
FLEXeCHARGE,FLEXeCHARGE offers smart charging solutions for charging station manufacturers and backend providers.,https://flexecharge.com,"Copenhagen, Denmark",Accelerace
Wudpecker,"Wudpecker records your sales call, generate high-quality notes, and syncs them to your CRM. Automatically.",https://www.wudpecker.io,"Copenhagen, Denmark",Accelerace
Goods,Local ecommerce delivery for fashion brands,https://www.goodsdelivery.io/,"Copenhagen, Denmark",Accelerace
Melatech,"Melatech specializes in clinical software design, development, testing, and implementation solutions for healthcare professionals.",https://melatech.io,"Copenhagen, Denmark",Accelerace
Judico,Judico is a software company provides world's first compliance guidance tool.,https://www.judico.io,"Copenhagen, Denmark",Accelerace
IDUN Audio,IDUN Audio spatial audio is the future of any headphone solution that offers users a sound experience and a comfortable listening situation.,http://idun-audio.com,"Copenhagen, Denmark",Accelerace
Umamamia,Umami ingredient plant based food,https://www.umamamia.com/,"Copenhagen, Denmark",Accelerace
Exo360,"Exo360 is a medical device company that designs and produces devices for orthopedic care, broken bones, and other orthopedic conditions.",https://www.exo360.org,"Copenhagen, Denmark",Accelerace
Doubble,Doubble is a social technology company that is building the future experiences we create with our close friends,https://www.doubble.app,"Copenhagen, Denmark",Accelerace
Chew,Chew is an entertaining platform that combines cooking classes with educational content and games for kids.,https://www.chew.no,"Copenhagen, Denmark",Accelerace
Impactly,Impactly develops reporting analytics software to gather and measure social impact data through digital solutions.,https://www.impactly.dk/,"Copenhagen, Denmark",Accelerace
Bikekey,Bikekey is a digital cycling platform that provides bicycle registration and theft protection services.,https://www.bikekey.com,"Copenhagen, Denmark",Accelerace
THE UPCYCL,THE UPCYCL is a B2B material exchange platform that promotes the trading of new waste materials while accelerating the circular economy.,https://theupcycl.dk/,"Copenhagen, Denmark",Accelerace
"Kin, Personal AI",Personal AI for your private life,https://mykin.ai,"Copenhagen, Denmark",Accelerace
WeedBot,WeedBot develops weeding systems for organic and conventional farmers.,https://weedbot.eu/,"Copenhagen, Denmark",Accelerace
Salu Health,"A globally available personal doctor, when & where you need it",https://salu.md/,"Copenhagen, Denmark",Accelerace
Jabbr,Jabbr allows to capture boxing matches with a virtual video production.,https://jabbr.ai/,"Copenhagen, Denmark",Accelerace
PolarTech,PolarTech ApS designs and manufactures manual and automatic CO2 cleaning and surface preparation equipment.,http://www.polartech-as.com,"Copenhagen, Denmark",Accelerace
Bownty,Bownty is a website that collects all the deals in to a single website and sorts them into categories.,http://bownty.com,"Copenhagen, Denmark",Accelerace
Roozz,"Roozz is a software company that converts existing software applications and PC games, enabling them to run directly in any browser.",http://www.roozz.com,"Copenhagen, Denmark",Accelerace
TeleSkin,"TeleSkin develops high-tech mobile and software solutions for tracking and analysis of moles, lesions, and other skin conditions over time.",http://www.teleskin.org,"Copenhagen, Denmark",Accelerace
Sekoia,"Sekoia provides care workers with access to all the information needed, right where needed",https://sekoia.co.uk,"Copenhagen, Denmark",Accelerace
Screen Ticket,Screen Ticket offers a software solution that enables users to create tickets and coupons on mobile phones.,,"Copenhagen, Denmark",Accelerace
EdgeFlow,EdgeFlow designs and develops wind turbine models specifically aimed at large industrial estates in the periphery of cities.,,"Copenhagen, Denmark",Accelerace
Viking CNC,VIKING CNC was established in 1991.,http://www.viking-cnc.dk/,"Copenhagen, Denmark",Accelerace
Water Surveillance,Water Surveillance makes an alarm and monitoring performance in relation to reducing the costs associated with water and moisture damage.,http://watersurveillance.com/,"Copenhagen, Denmark",Accelerace
teamlearning.ai,edTech SaaS for learning and development providers,https://www.teamlearning.ai,"Copenhagen, Denmark",Accelerace
Coinify,"Helping businesses accelerate growth by accepting cryptocurrency payments, and buying crypto.",https://www.coinify.com,"Copenhagen, Denmark",Accelerace
uCommerce,The uCommerce platform is designed to grow with your business as requirements change and expand.,http://www.ucommerce.net/,"Copenhagen, Denmark",Accelerace
DecoSlide,Decoslide manufactures a wide variety of sliding doors and wardrobe solutions.,https://feldt-solutions.dk,"Copenhagen, Denmark",Accelerace
GreenTrapOnline,GreenTrapOnline A/S is a danish private owned company located i the area of Aarhus. We develop and operate wireless electronic monitoring,http://www.greentraponline.com,"Copenhagen, Denmark",Accelerace
Sorbisense,"Sorbisense A/S engages in developing, manufacturing, and marketing technology for water quality monitoring.",http://www.sorbisense.dk,"Copenhagen, Denmark",Accelerace
Sproom,"Sproom is a business network, bringing together electronic exchange of invoices, orders, notifications between buyers and supliers.",http://www.sproom.net,"Copenhagen, Denmark",Accelerace
Conferize,"Conferize is a social space enabling people to find conferences that interest them, connect to other attendees, and follow speakers.",https://conferize.com,"Copenhagen, Denmark",Accelerace
Remic,REMIC MICROPHONES is the leading Professional designer & manufacturer of high definition condenser microphones.,https://www.remic.dk/,"Copenhagen, Denmark",Accelerace
føtex Erhverv,føtex Erhverv is the easiest way for groceries online.,https://www.iposen.dk,"Copenhagen, Denmark",Accelerace
Innopower,Innopower develops and sells a range of innovative monitoring products for street lighting.,http://www.innopower.dk/,"Copenhagen, Denmark",Accelerace
Tutee,"Tutee offers a free, online and cloud-based learning platform that makes learning and tutoring easy and fun.",http://tuteeapp.com,"Copenhagen, Denmark",Accelerace
Actimo,"Actimo is an easy-to-use communication and engagement platform to reach, train, and manage the workforce on mobile.",https://www.actimo.com,"Copenhagen, Denmark",Accelerace
Me-Mover,A three-wheeled step machine that makes fitness an exciting urban experience.,http://www.me-mover.com,"Copenhagen, Denmark",Accelerace
Skin Bliss,"Find your perfect skincare match. It is like a Tinder match, but based on science and optimized for lasting relationships.",https://getskinbliss.com/,"Copenhagen, Denmark",Accelerace
JamOrigin,"Jam Origin is an independent software- and research company based in Aarhus, Denmark. We are a small team of engineers determined to push",http://jamorigin.com,"Copenhagen, Denmark",Accelerace
Reapplix,"Reapplix identifies blood-derived proteins that improve wound healing, isolates them, and reapplies them to patients with chronic wounds.",http://www.reapplix.com,"Copenhagen, Denmark",Accelerace
Reapplix,"Reapplix identifies blood-derived proteins that improve wound healing, isolates them, and reapplies them to patients with chronic wounds.",http://www.reapplix.com,"Copenhagen, Denmark",Accelerace
Inventilate,Inventilate offers intelligent micro-ventilation systems that outperform ducted ventilation systems on installation and operating costs.,https://inventilate.dk/,"Copenhagen, Denmark",Accelerace
Inventilate,Inventilate offers intelligent micro-ventilation systems that outperform ducted ventilation systems on installation and operating costs.,https://inventilate.dk/,"Copenhagen, Denmark",Accelerace
Graduateland,"Graduateland offers a career network for students and recent graduates, enabling them to discover job opportunities.",http://www.graduateland.com,"Copenhagen, Denmark",Accelerace
Conferize,"Conferize is a social space enabling people to find conferences that interest them, connect to other attendees, and follow speakers.",https://conferize.com,"Copenhagen, Denmark",Accelerace
ChurchDesk,ChurchDesk is the all in one solution to help your church develop and connect with people.,http://www.churchdesk.com,"Copenhagen, Denmark",Accelerace
GreenTrapOnline,GreenTrapOnline A/S is a danish private owned company located i the area of Aarhus. We develop and operate wireless electronic monitoring,http://www.greentraponline.com,"Copenhagen, Denmark",Accelerace
uCommerce,The uCommerce platform is designed to grow with your business as requirements change and expand.,http://www.ucommerce.net/,"Copenhagen, Denmark",Accelerace
Leagues,"Leagues is a platform for esports, we strive to be the future driver for all gamers that want to become players.",https://leagues.gg,"Copenhagen, Denmark",Accelerace
AVAtronics,AVAtronics is developing noise-canceling technology.,https://www.avatronics.com/,"Copenhagen, Denmark",Accelerace
EdgeFlow,EdgeFlow designs and develops wind turbine models specifically aimed at large industrial estates in the periphery of cities.,,"Copenhagen, Denmark",Accelerace
Screen Ticket,Screen Ticket offers a software solution that enables users to create tickets and coupons on mobile phones.,,"Copenhagen, Denmark",Accelerace
HeatGear,"New method for heating water, including use in the military.",http://www.heatgear.dk,"Copenhagen, Denmark",Accelerace
ARTXP,Connecting individuals and companies with professional artists and emerging creators hosting unforgettable experiences.,https://www.art-xp.com,"Copenhagen, Denmark",Accelerace
Sorbisense,"Sorbisense A/S engages in developing, manufacturing, and marketing technology for water quality monitoring.",http://www.sorbisense.dk,"Copenhagen, Denmark",Accelerace
HeatGear,"New method for heating water, including use in the military.",http://www.heatgear.dk,"Copenhagen, Denmark",Accelerace
Sorbisense,"Sorbisense A/S engages in developing, manufacturing, and marketing technology for water quality monitoring.",http://www.sorbisense.dk,"Copenhagen, Denmark",Accelerace
EntomoPharm,"EntomoPharm, a biotechnology company, develops insect based screening models for predicting ADMET properties of chemical agents.",http://www.entomopharm.com,"Copenhagen, Denmark",Accelerace
Water Surveillance,Water Surveillance makes an alarm and monitoring performance in relation to reducing the costs associated with water and moisture damage.,http://watersurveillance.com/,"Copenhagen, Denmark",Accelerace
Seneco,Seneco is a danish company that develops and sells innovative control and monitoring products for street lighting.,https://www.seneco.dk,"Copenhagen, Denmark",Accelerace
Crowdbook,Re-inventing online booking of meetings and events,https://crowdbook.dk/,"Copenhagen, Denmark",Accelerace
MobileWeaver,MobileWeaver develops mobile applications that facilitate photo management through social networks.,http://www.weavermobile.com/PhotoBox,"Copenhagen, Denmark",Accelerace
EntomoPharm,"EntomoPharm, a biotechnology company, develops insect based screening models for predicting ADMET properties of chemical agents.",http://www.entomopharm.com,"Copenhagen, Denmark",Accelerace
Yaneeda,"Yaneeda is a new kind of travel agent that lets you decide what you want, and gives you the tools that only travel agents used to have.",http://www.yaneeda.com/,"Copenhagen, Denmark",Accelerace
Kappo,SaaS platform that helps smart cities increase the urban bicycle usage worldwide,http://www.kappo.bike,"Copenhagen, Denmark",Accelerace
Wave Photonics,Wave Photonics utilizes computational techniques to accelerate integrated photonics product designs.,https://www.wavephotonics.com/,"Cambridge, UK",DeeptechLabs
Synthara Technologies,Synthara is an AI company that provides system-level solutions for businesses to enhance their products or services with smart features.,https://www.synthara.ai,"Cambridge, UK",DeeptechLabs
Nu Quantum,Nu Quantum is a quantum networking start-up building the entanglement fabric essential to scaling quantum computers.,https://nu-quantum.com,"Cambridge, UK",DeeptechLabs
Perceptual Robotics,Perceptual Robotics is creating intelligent automation to make wind turbine and other infrastructure inspection simple and fast,https://www.perceptual-robotics.com/,"Cambridge, UK",DeeptechLabs
Medwise.ai,Medwise.ai is the Google for doctors.,https://www.medwise.ai/,"Cambridge, UK",DeeptechLabs
SonicEdge,"SonicEdge is developing a game changing speaker, bringing true to life sound in earphones and beyond",http://www.sonicedge.io/,"Cambridge, UK",DeeptechLabs
Contilio,"Contilio is the Built Environment’s #1 AI Insights Platform, delivering millions in CO2, cost, FTE and time savings for Enterprise customers",http://www.contilio.com,"Cambridge, UK",DeeptechLabs
RoboK,RoboK is a computer vision startup with a mission to make all industrial workplaces safe and high-performing with AI.,http://www.robok.ai,"Cambridge, UK",DeeptechLabs
Outfield,The future of fruit farming,http://www.outfield.xyz,"Cambridge, UK",DeeptechLabs
TeraSi,We make components and packaging for the next generation of wireless.,http://www.terasi.io,"Cambridge, UK",DeeptechLabs
Condense,Condense transforms stream real-world 3D events live into any video game built on Unity or Unreal.,https://www.condense.live/,"Cambridge, UK",DeeptechLabs
OctaiPipe,OctaiPipe is a Federated Learning Operations (FL-Ops) framework designed specifically for Edge AIoT devices.,https://octaipipe.ai,"Cambridge, UK",DeeptechLabs
Nestwave,Nestwave is a provider of advanced geolocation solutions for the IoT market.,https://www.nestwave.com/,"Cambridge, UK",DeeptechLabs
Anaphite,Advanced materials development and manufacture for Li-ion Battery electrodes,https://www.anaphite.com,"Cambridge, UK",DeeptechLabs
Circuit Mind,Circuit Mind develops artificial intelligence solutions.,http://circuitmind.io/,"Cambridge, UK",DeeptechLabs
Toposens,Toposens builds highly robust and low-cost near-field 3D ultrasonic vision technology for robotics and autonomous vehicles.,http://www.toposens.com,"Cambridge, UK",DeeptechLabs
AutoFill Technologies,AutoFill Technologies uses computer vision and AI to capture data and detect damage to vehicles without the need for human interaction.,https://www.autofilltech.com,"Cambridge, UK",DeeptechLabs
BKwai,BKwai deliver insights to engineers using world-class research and applied technology to support a more resilient built environment.,https://www.bkwai.com,"Cambridge, UK",DeeptechLabs
Inovo Robotics,Inovo Robotics is developing a low-cost collaborative robot (“cobot”) that can integrate into existing workforce processes.,https://inovorobotics.com/,"Cambridge, UK",DeeptechLabs
Salience Labs,Salience Labs is building a hybrid photonic-electronic chip for AI.,http://saliencelabs.ai,"Cambridge, UK",DeeptechLabs
Mindtech,Mindtech's DataOps platform analyses training data & creates unlimited synthetic images & pixel accurate annotations for training AI models,https://www.mindtech.global,"Cambridge, UK",DeeptechLabs
Xapien,"Xapien automates online research, using Artificial Intelligence, Natural Language Processing & with vast cloud compute power: #XapienThem",https://www.xapien.com/,"Cambridge, UK",DeeptechLabs
WAKU Robotics,"The WAKU Platform is an all-in-one software platform with all functions for managing, controlling, and analyzing mobile robots (AGV & AMR).",https://www.waku-robotics.com,"Cambridge, UK",DeeptechLabs
Salience Labs,Salience Labs is building a hybrid photonic-electronic chip for AI.,http://saliencelabs.ai,"Cambridge, UK",DeeptechLabs
iKVA,iKVA is an AI knowledge management software company.,https://ikva.ai/,"Cambridge, UK",DeeptechLabs
Sonomind,"Develop an innovative approach for the treatment of psychiatric disorders such as depression, anxiety, or addiction.",https://www.agoranov.com/,"Paris, France",Agoranov
Bimea,Innovative company at the intersection of acoustics and artificial intelligence. ,https://www.bimea.audio/,"Paris, France",Agoranov
Generare Bioscience,Discovery of new drugs encoded in the DNA of soil bacteria.,https://generare.bio/,"Paris, France",Agoranov
Andromach,Developing a range of reusable spacecraft dedicated to various missions.,https://www.linkedin.com/company/andromach/,"Paris, France",Agoranov
Rosetta Omics,DeepTech precision medicine in the field of oncology.,https://rosetta-omics.com/,"Paris, France",Agoranov
MovaLife microrobotics,Developing an instrumented incubator aimed at improving the IVF process.,https://www.linkedin.com/company/movalife/?originalSubdomain=fr,"Paris, France",Agoranov
Koncile,Control and optimization of corporate purchasing through AI.,https://www.koncile.ai/,"Paris, France",Agoranov
ReSoil,Funding agricultural transition through carbon and biodiversity data on farms.,https://www.resoilag.com/,"Paris, France",Agoranov
BaCta,Production of carbon-negative natural rubber in microorganisms.,https://www.bacta.life/,"Paris, France",Agoranov
Mauna,Sports performance optimization software that reduces injury risks ,https://mauna-ai.com/,"Paris, France",Agoranov
Iris Lab,Wireless charging for autonomous systems,https://www.irislab.io/,"Paris, France",Agoranov
Extra Labs,Decentralized protocol for 3D mapping production,https://www.extralabs.xyz/,"Paris, France",Agoranov
Alpha Brain ,Enhanced brain monitoring in the operating room to reduce post-operative complications,https://alphabrain.fr/,"Paris, France",Agoranov
DecorAR,Revolution in e-commerce furniture with AI and AR,https://decorar.ai/,"Paris, France",Agoranov
Beink Dream,Turning ideas into major innovations with a collaborative generative AI solution.,https://www.beink.fr/,"Paris, France",Agoranov
Skynopy,Provides an innovative satellite connectivity service through a network of shared antennas.,https://skynopy.com/,"Paris, France",Agoranov
Iduzo ,Iduzo transforms layout design into a tailor-made and dynamic experience. A flexible and fast engine that offers simultaneous cost estimation for the work alongside 3D layout planning.,https://www.iduzo.com/,"Paris, France",Agoranov
Darween,Cultivating the Future of Biologics: convert each seed into a mini-bioreactor.,http://www.darween.io/,"Paris, France",Agoranov
Eclipse,"Develops, installs, and optimizes batteries on the network.",https://eclipse-flow.com/,"Paris, France",Agoranov
Frak Labs,Peer-to-peer content distribution solution based on blockchain.,https://frak.id/fr,"Paris, France",Agoranov
So Sweet,Values sweet plant proteins for sustainable and health-beneficial nutrition.,https://www.linkedin.com/company/sosweetproteins/,"Paris, France",Agoranov
Algoscope,"Hardware and software solutions based on AI, 3D Modeling and Computer Vision for surgery and laboratory medicine. ",https://algoscope.fr/,"Paris, France",Agoranov
Simio,Simio enables B2C industries to effortlessly activate WhatsApp as a new revenue and sales channel. [italic] Simio has been acquired by Alcméon in 2024,https://www.getsimio.com/,"Paris, France",Agoranov
Brokoli,"A marketplace enabling the comparison, explanation, and sale of all insurance products in the market in less than 5 minutes.",https://brokoli.fr/,"Paris, France",Agoranov
Alt Biotech,Alt Biotech is developing a bioproduction system that combines productivity and scalability with a reduced environmental impact.,https://alt-biotech.com/,"Paris, France",Agoranov
Osium AI,Artificial intelligence platform allowing R&D engineers to develop innovative and sustainable materials more quickly.,https://osium.ai/,"Paris, France",Agoranov
AURESSENS,"Designs, produces and manufactures innovative organic pigments for metal-free metallic appearance. ",https://auressens.com/,"Paris, France",Agoranov
Pronoe,Atmospheric CO2 removal and ocean acidification mitigation systems.,https://www.pronoe.earth/,"Paris, France",Agoranov
Claimy,Music rights tracking and visualization solution. ,"https://www.claimy.co/#:~:text=Claimy%20est%20une%20plateforme%20tout,%C3%A0%20r%C3%A9clamer%20les%20droits%20manquants.","Paris, France",Agoranov
Spacelocker,"Universal payload hosting solutions to generate space data with simple, flexible and sustainable missions.",https://www.spacelocker.fr/,"Paris, France",Agoranov
Steto,Stēto connects diabetic patients with their healthcare team.,https://www.steto.care/,"Paris, France",Agoranov
Workka,Workka is an investment robomanager for the underserved crowd,http://www.workka.io/,"Paris, France",Agoranov
Matricis.ai,Matricis.ai develops artificial intelligence for diagnosing gynecological pathologies,https://matricis.ai/,"Paris, France",Agoranov
TILT,Tilt builds a Saas platform that enables the valorization of dispersed electrical flexibilities through machine learning algorithms.,https://www.tilt-energy.com/,"Paris, France",Agoranov
Ida,"Ida develops an inventory optimization software for fresh produce (fruit & vegetables, butchery, fish)",https://www.ai-ida.com/,"Paris, France",Agoranov
Enhance Lab,A super-resolution and high-dynamic imaging from bursts of raw images,http://enhancelab.fr/,"Paris, France",Agoranov
Pimento,The space in which creative teams come together to collaborate with AI to generate the best ideas ,https://www.gopimento.co/,"Paris, France",Agoranov
Differs,Predicting customer behavior accurately with our plug & play AI solutions.,https://differs.io/,"Paris, France",Agoranov
Tomo,Exchange service (video/phone/message) with trained and supervised caregiver patients.,https://www.jointomo.com/patients-aidants,"Paris, France",Agoranov
Hylight,HyLight designs and operates dirigible drones to inspect critical assets.,https://www.hylight.aero/,"Paris, France",Agoranov
Quack AI,Solution that automates redundant parts of code reviews: uses deep learning to create assessments tailored to teams' style and needs. ,https://www.quackai.com/,"Paris, France",Agoranov
Spore.Bio,"A new generation of microbiological detection for the food, pharmaceutical and cosmetics industries",https://spore.bio/,"Paris, France",Agoranov
Twinical,Develops a digital assistance software for virtual planning and surgical navigation.,http://twinical.com/,"Paris, France",Agoranov
Pepkon,Develops first-in class peptide therapies to address unmet medical needs in oncology.,https://www.linkedin.com/company/pepkon/about/,"Paris, France",Agoranov
Akuity Care,Harnesses the power of voice to transform the way chronic diseases are managed. ,https://www.akuity.care/,"Paris, France",Agoranov
Amatera Biosciences,Optimised breeding platform for long-cycle plants,https://www.amatera.bio/,"Paris, France",Agoranov
Persea,Develops a treatment that brings complete remission to liver cancer.,https://www.linkedin.com/company/persea-healthcare/,"Paris, France",Agoranov
Nūmi,Nūmi creates the next generation of infant formula by producing cultivated human milk.,https://numi.life/,"Paris, France",Agoranov
Ncodin,Ncodin will allow its customers to unleash the computing power of their next-generation processors through light.,https://ncodin.com/,"Paris, France",Agoranov
Upfund,"Upfund is a data visualization tool through mapping that automates the collection, aggregation, and compilation of all the necessary data for the analysis, valuation, and management of a commercial space.",https://www.upfundpro.com/,"Paris, France",Agoranov
Syntopia,"Platform for prediction, combination of synergies between drugs.",https://www.linkedin.com/company/syntopia-bio/,"Paris, France",Agoranov
Greenbids,"Greenbids' mission is to create a world where digital advertising consumes the least amount of carbon resources possible to achieve maximum performance. To achieve this goal, we are working on creating the best digital advertising AI that will shape a better future",https://www.greenbids.ai/,"Paris, France",Agoranov
Snowpack,"Network of invisibility to overcome trust in the underlying Internet infrastructure, including encryption",https://snowpack.eu/fr/,"Paris, France",Agoranov
